发表时间,会议（没中或者是报告的话填None）,方法名称,论文名字,架构,方向,论文单位（全称）,论文链接,论文仓库,论文创新点（CH）100字以内,论文创新点（EN）,本组工作,父记录
2024.1,None,FasterCache,FasterCache: Training-Free Video Diffusion Model Acceleration with High Quality,,视频生成,,https://arxiv.org/pdf/2410.19355,https://github.com/Vchitect/FasterCache,本文提出一种 FasterCache 策略，包括动态特征重用保持时间连续性与区分性，以及 CFG-Cache 优化条件与无条件特征的复用，实现训练免加速，在 Vchitect-2.0 上达约 1.67× 提速且视频质量不降。,,,
2024.1,ICLR2025,ToCa,ToCa: Accelerating Diffusion Transformers with Token-wise Feature Caching,DiT,"图片生成, 视频生成",Shanghai Jiao Tong University,https://arxiv.org/abs/2410.05317,https://github.com/Shenyi-Z/ToCa,介绍了一种名为 ToCa 的 Token 级特征缓存方法，这是一种用于扩散变压器的细粒度缓存方法。该方法根据时间冗余和误差传播敏感性自适应地选择 Token，并在不同层应用不同的缓存比例。在 OpenSora 上实现了约 2.36 倍的无需训练的加速效果，同时保持了近乎无损的生成质量。,,是,
2024.11,None,AdaCache,Adaptive Caching for Faster Video Generation with Diffusion Transformers,DiT,视频生成,Meta,https://adacache-dit.github.io/clarity/adacache_meta.pdf,https://github.com/AdaCache-DiT/AdaCache,这项工作提出了 AdaCache，一种针对视频 DiTs 的训练无关自适应缓存方法，它通过运动正则化（MoReg）方案根据视频内容调整缓存计划，以控制计算量。该方法在 Open-Sora 720p 视频上实现了高达 4.7 倍的推理加速，且不损失质量。,,,
2024.11,CVPR 2025,TeaCache,Timestep Embedding Tells: It’s Time to Cache for Video Diffusion Model,,"图片生成, 视频生成",Alibaba,https://arxiv.org/pdf/2411.19108,https://github.com/LiewFeng/TeaCache,介绍了一种无需训练的缓存方法（TeaCache），通过时间步长嵌入来估计输出方差，选择性地在计算冗余的时间步长进行缓存，实现高达~4.41 倍的加速，同时视觉质量退化可忽略不计。,,,
2024.11,AAAI 2025,LazyDiT,LazyDiT: Lazy Learning for the Acceleration of Diffusion Transformers,DiT,视频生成,Adobe Research,https://arxiv.org/pdf/2412.12444,https://github.com/shawnricecake/lazydit,这项工作介绍了 LazyDiT，一个将可训练的惰性学习层嵌入到 DiTs 中的惰性学习框架，通过重用先前的步骤结果来动态跳过冗余计算。它在图像和视频模型上实现了推理加速，且质量损失可以忽略不计。,,,
2024.11,ICML 2025,Ca2-VDM,Ca2-VDM: Efficient Autoregressive Video Diffusion Model with Causal Generation and Cache Sharing,,视频生成,Zhejiang University,https://arxiv.org/pdf/2411.16375,https://github.com/Dawn-LX/CausalCache-VDM/,本文提出 Ca2-VDM，通过因果生成避免邻近帧重复计算，并引入跨步骤缓存共享机制，显著降低计算冗余与存储成本，实现高效长段视频生成加速。,,,
2024.11,CVPR eLVM,SmoothCache,SmoothCache: A Universal Inference Acceleration Technique for Diffusion Transformers,DiT,"图片生成, 视频生成, 音频生成",Roblox,https://arxiv.org/pdf/2411.10510,https://github.com/Roblox/SmoothCache,提出 SmoothCache：一种无需训练的通用缓存机制，通过分析相邻 timestep 层输出误差自适应缓存关键特征，在 DiT 架构中实现图像、视频、音频等多种模态推理加速 8%–71%，质量保持或略有提升。,,,
2024.12,ICLR2025,DuCa,Accelerating Diffusion Transformers with Dual Feature Caching,DiT,"图片生成, 视频生成",Shanghai Jiao Tong University,https://arxiv.org/abs/2412.18911,https://github.com/Shenyi-Z/DuCa,DuCa 提出了一种双重特征缓存策略：迭代地在激进缓存（用于高速提升）和保守缓存（用于纠正累积错误）之间交替，并提出了 V-Caching，这是一种基于值范数重要性的逐标记保守缓存方法，与 FlashAttention 兼容。这种无需训练的方法在保持生成质量的同时，实现了显著的推理加速。,,是,
2025.01,None,FBCache,Fastest HunyuanVideo Inference with Context Parallelism and First Block Cache on NVIDIA L20 GPUs,,视频生成,,,ParaAttention/doc/fastest_hunyuan_video.md at main · chengzeyi/ParaAttention --- ParaAttention/doc/fastest_hunyuan_video.md at main · chengzeyi/ParaAttention,实现上下文并行和第一块缓存，以并行推理并缓存残差差异较小时早期 Transformer 块的输出，在多 GPU 缩放下，在 NVIDIA L20 GPU 上实现高达 ~5.66 倍的推理加速。还集成了 FP8 动态量化和 torch.compile 以进一步优化。,,,
2025.01,None,FlexCache,FlexCache: Flexible Approximate Cache System for Video Diffusion,,视频生成,University of Waterloo,https://arxiv.org/abs/2501.04012,,FlexCache 提出了一种使用压缩（存储空间减少 6.7 倍）和对象-背景解耦的灵活近似缓存系统，以提高命中率与效率，在视频扩散模型中实现了吞吐量提升 1.26 倍和成本降低 25%。,,,
2025.01,None,DaTo,Token Pruning for Caching Better: 9 Times Acceleration on Stable Diffusion for Free,Unet,图片生成,Shanghai Jiao Tong University,https://arxiv.org/pdf/2501.00375,,提出 Dynamics-aware token pruning (DaTo)，结合特征缓存与令牌剪枝，仅保留高动态性令牌以扩展时间步特征动态性，训练免加速 Stable Diffusion，ImageNet 上 9× 提速同时 FID 降 0.33，COCO-30k 上 7× 提速且 FID 大幅下降（–2.17）。,,是,
2025.02,ICLR2025,PAB,Real-Time Video Generation with Pyramid Attention Broadcast,DiT,视频生成,National University of Singapore,https://arxiv.org/pdf/2408.12588,https://github.com/NUS-HPC-AI-Lab/OpenDiT,提出 Pyramid Attention Broadcast，通过分层广播 attention 输出 & 并行推理，实现在 DiT 上高质量 720p 视频的实时生成（最高 10.5× 加速）。,,,
2025.03,ICCV 2025,TaylorSeer,"From Reusing to Forecasting: Accelerating Diffusion Models with TaylorSeers
",DiT,"图片生成, 视频生成",Shanghai Jiao Tong University,"  https://arxiv.org/abs/2503.06923"," https://github.com/Shenyi-Z/TaylorSeer","  提出了一种使用泰勒级数展开的缓存后预测范式，用于预测扩散模型中未来时间步长的特征，在不进行额外训练的情况下实现了近乎无损的加速（图像速度提升约 4.99 倍，视频提升约 5.00 倍）。",,是,
2025.03,None,FEB-Cache,FEB-Cache: Frequency-Guided Exposure Bias Reduction for Enhancing Diffusion Transformer Caching,DiT,图片生成,University of Science and Technology of China,https://arxiv.org/pdf/2503.07120,https://github.com/aSleepyTree/EB-Cache,FEB-Cache 引入了一种频率引导、分离的缓存策略用于 Attention 和 MLP，并采用阶段特定的噪声缩放来缓解缓存放大曝光偏差的问题，从而实现图像质量的提升和推理加速的效率。,,,
2025.03,CVPR 2025,CacheQuant,CacheQuant: Comprehensively Accelerated Diffusion Models,Unet,图片生成,University of Chinese Academy of Sciences,https://arxiv.org/pdf/2503.01323,https://github.com/BienLuky/CacheQuant,"提出了一种无需训练的 CacheQuant 框架，通过动态规划和解耦误差校正联合优化缓存和量化，在仅损失 0.02 CLIP 分数的情况下，为 Stable Diffusion 实现了 5.18 倍加速和 4 倍压缩。同时优化缓存调度与模型量化，而非分级进行，两者结合效果更佳；使用 动态规划（Dynamic Programming Schedule, DPS） 计算最优缓存与量化方案，以最小化误差；引入 解耦误差修正（Decoupled Error Correction, DEC），逐步修正缓存和量化带来的累积误差；在 MS-COCO 的 Stable Diffusion 上实现 5.18× 推理加速和4× 模型压缩，CLIP 分数仅下降 0.02。",,,
2025.03,ICCV 2025,QuantCache,QuantCache: Adaptive Importance-Guided Quantization with Hierarchical Latent and Layer Caching for Video Generation,DiT,视频生成,Shanghai Jiao Tong University,https://arxiv.org/pdf/2503.06545,https://github.com/JunyiWuCode/QuantCache,提出 QuantCache，一种训练免的加速框架，通过层级缓存、重要性引导量化与结构冗余剪枝三位一体优化，实现 Open-Sora 上约 6.72× 延迟加速且质量损失极小。,,,
2025.04,None,AB-Cache,AB-Cache: Training-Free Acceleration of Diffusion Models via Adams-Bashforth Cached Feature Reuse,"Unet, DiT","图片生成, 视频生成",University of Science and Technology of China,https://arxiv.org/abs/2504.10540,,AB-Cache 利用了一种 Adams-Bashforth 缓存机制：它不是直接重用，而是应用缓存的特征的更高阶线性组合，具有可证明的截断误差为 O(hᵏ)，在保持生成质量的同时，实现了近 3 倍的推理加速。,,,
2025.04,ACM MM 2025,ClusCa,Compute only 16 tokens in one timestep: Accelerating Diffusion Transformers with Cluster-Driven Feature Caching,DiT,"图片生成, 视频生成",Shanghai Jiao Tong University,None," https://github.com/zhixin-zheng/ClusCa",,,是,
2025.04,ACM MM 2025,SpeCa,SpeCa: Accelerating Diffusion Transformers with Speculative Feature Caching,DiT,"图片生成, 视频生成",Shanghai Jiao Tong University,None,https://github.com/Shenyi-Z/Cache4Diffusion/,,,是,
2025.04,None,FeMO,Accelerate Diffusion Transformers with Feature Momentum,DiT,图片生成,Shanghai Jiao Tong University,None,https://github.com/Shenyi-Z/Cache4Diffusion/,,,是,
2025.04,CVPR 2025,ICC,Accelerating Diffusion Transformer via Increment-Calibrated Caching with Channel-Aware Singular Value Decomposition,DiT,图片生成,Peking University,https://arxiv.org/pdf/2505.05829,https://github.com/ccccczzy/icc,提出 Increment-Calibrated Caching：基于低秩推广方法自动生成校准参数，通过 channel-aware SVD 修正异常通道，提升缓存准确度与加速效果，无训练方式提升推理效率。,,,
2025.05,CVPR 2025,FastCache,FastCache: Fast Caching for Diffusion Transformer Through Learnable Linear Approximation,DiT,图片生成,Yale University,https://arxiv.org/abs/2505.20353,https://github.com/NoakLiu/FastCache-xDiT,FastCache 结合了空间感知的 token 选择和 transformer 级别的缓存，通过可学习的线性近似来跳过冗余计算，在保持生成保真度的同时，实现了显著的延迟和内存减少。,,,
2025.06,,DBPrune,DBPrune: Dynamic Block Prune with Residual Caching,,,Vipshop,,,,,,
2025.06,,DBCache,DBCache: Dual Block Caching for Diffusion Transformers,,,Vipshop,,,,,,
2025.06,None,BACache,Block-wise Adaptive Caching for Accelerating Diffusion Policy,,,Peking University,https://arxiv.org/pdf/2506.13456,,提出了 Block-wise Adaptive Caching（BAC）方法，通过在块级别自适应地更新和重用缓存的中间动作特征，实现了对 Transformer-based Diffusion Policy 的无损加速。将特征缓存建模为常微分方程，通过预测-校准策略实现特征预测和误差修正，无需训练即可显著加速扩散变换器推理。,,,
2025.07,ICCV 2025,SkipCache,Accelerating Vision Diffusion Transformers with Skip Branches,DiT,"图片生成, 视频生成",Shanghai Jiao Tong University,https://arxiv.org/abs/2411.17616,https://github.com/OpenSparseLLMs/Skip-DiT,这项工作将长跳跃连接（LSCs）融入 DiT 中，以增强特征平滑性，从而实现一个稳定的静态缓存机制（Skip-Cache）。它在不显著损失质量的情况下，实现了约 1.5–2 倍的推理速度提升和约 4.4 倍的训练加速。,,,
2025.07,None,FoCa ,Forecast then Calibrate: Feature Caching as ODE for Efficient Diffusion Transformers,DiT,"图片生成, 视频生成",Shanghai Jiao Tong University,https://arxiv.org/abs/2508.16211,https://github.com/Shenyi-Z/Cache4Diffusion/,提出FoCa方法，通过将扩散变换器的特征缓存建模为常微分方程（ODE），捕捉隐藏层表示随时间步的演化规律。FoCa采用“预测-校准”策略，先预测未来特征再进行校准，减少长步预测误差，实现稳定推理。该方法无需额外训练，即可在图像生成、视频生成和超分辨率等任务中显著加速推理，例如在FLUX和HunyuanVideo上分别实现约5.5倍和6.45倍加速，同时保持生成质量。FoCa在多种生成任务中表现优异，展示了高效、广泛适用的特征缓存优化方案。,,是,
2025.07,None,HiCache,HiCache: Training-free Acceleration of Diffusion Models via Hermite Polynomial-based Feature Caching,DiT,"图片生成, 视频生成",Shanghai Jiao Tong University,https://arxiv.org/abs/2508.16984,https://github.com/Shenyi-Z/Cache4Diffusion/,提出了一种名为 HiCache 的高效特征缓存方法，旨在加速扩散模型的推理过程，同时保持生成质量。通过分析扩散变换器中隐藏层特征的导数近似，发现其呈现多元高斯特性，启发性地采用 Hermite 多项式作为特征预测的理论最优基函数。,,是,
2025.07,None,WaveEx,WaveEx: Accelerating Flow Matching-based Speech Generation via Wavelet-guided Extrapolation,,音频生成,Shanghai Jiao Tong University,None,https://github.com/Shenyi-Z/Cache4Diffusion/,,,是,
2025.07,ICCV 2025,GOC,Accelerating Diffusion Transformer via Gradient-Optimized Cache,DiT,,University of Science and Technology of China,https://arxiv.org/pdf/2503.05156,https://github.com/qiujx0520/GOC_ICCV2025,提出GOC方法，通过梯度缓存传播补偿特征缓存引入的近似误差，并结合拐点感知优化，在特征变化关键节点对梯度进行对齐。该方法无需额外训练，即可在推理过程中显著提高扩散变换器效率，同时保持生成质量。,,,
2025.08,,TaoCache,TaoCache: Structure-Maintained Video Generation Acceleration,DiT,视频生成,Huawei,https://arxiv.org/pdf/2508.08978,None,采用固定点噪声预测与结构保持机制，通过余弦相似度和范数比校准噪声增量，无需训练即可高效加速视频生成，同时保持高分辨率结构信息。,,,
2025.08,ICCV 2025,OmniCache,OmniCache: A Trajectory-Oriented Global Perspective on Training-Free Cache Reuse for Diffusion Transformer Models,DiT,视频生成,Zhipu AI,https://arxiv.org/abs/2508.16212,None,通过全局轨迹分析和曲率节点选择确定缓存重用策略，同时动态估计并滤除噪声，无需训练即可加速推理，并保持扩散变换器生成质量和稳定性。,,,
2025.08,,MixCache,MixCache: Mixture-of-Cache for Video Diffusion Transformer Acceleration,DiT,视频生成,Sun Yat-sen University,https://arxiv.org/abs/2508.12691v1,None,提出混合缓存策略，结合上下文感知触发与自适应混合缓存决策，动态选择最佳缓存粒度，实现视频生成加速（如Wan 14B上提升1.94倍，HunyuanVideo上提升1.97倍），同时保持生成质量。,,,
2025.09,None,Z-Cache,Z-Cache: Accelerating Diffusion Transformers via  Self-Reflection,DiT,"图片生成, 视频生成",Shanghai Jiao Tong University,None,https://github.com/Shenyi-Z/Cache4Diffusion/,,,是,
2026.06,ECCV 2026,ResilPhase: Plug-and-Play Phase Mapping and Noise-Resilient Macro-Trajectory Extrapolation for Diffusion Acceleration,DiT,"图片生成, 视频生成",Zhejiang University,https://github.com/zqc214/ResilPhase/,,,是
,,,,,,,,,,,,
